bank_name,atm_cd,atm_lat,atm_long,stname,dtname,atm_city,atm_pin_cd
State Bank Of India,S1BW003884002,16.53353,78.20652,TELANGANA,Nagarkurnool,MAHBUBNAGAR,509203
Union Bank Of India,K0988101,16.5494,78.6868,TELANGANA,Nalgonda,DINDI,508258
Rural Cooperative Bank,93542009,16.552196,78.689012,TELANGANA,Nalgonda,Dindi, 
IDBI Bank Ltd,ID028012,16.55273,77.85118,TELANGANA,Mahabubnagar,Rangareddi,500072
Union Bank Of India,H0169101,16.5733,78.0481,TELANGANA,Wanaparthy,GHANPUR,509380
Union Bank Of India,W2163002,16.5733,78.0481,TELANGANA,Wanaparthy,KOTHUR,509217
Union Bank Of India,W0970001,16.5749,77.7987,TELANGANA,Mahabubnagar,LALKOTA,509204
State Bank Of India,S1BJ005875001,16.577425,78.303067,TELANGANA,Nagarkurnool,NAGAR KURNOOL,509209
State Bank Of India,S1BW020676001,16.582564,77.668218,TELANGANA,Narayanpet,JAKLAIR, 
Axis Bank Ltd,APCN86711,16.59106,78.30059,TELANGANA,Nagarkurnool,0,0
State Bank Of India,S1BW008809001,16.60212,78.75871,TELANGANA,Nalgonda,NALGONDA,508258
State Bank Of India,S5NL021043621,16.602746,77.727015,TELANGANA,Narayanpet,MARIKAL, 
State Bank Of India,S1BW020520001,16.602755,77.727049,TELANGANA,Narayanpet,MARIKAL, 
Indian Overseas Bank,IOB4428,16.606378,78.620122,TELANGANA,Nagarkurnool,VANGOOR,0
State Bank Of India,S1BW008801001,16.61413,78.34597,TELANGANA,Nagarkurnool,MAHBUBNAGAR,509209
Union Bank Of India,H0399101,16.6228,79.2943,TELANGANA,Nalgonda,NAGARJUNASAGAR,508202
State Bank Of India,S5NL017311621,16.62295,77.840847,TELANGANA,Mahabubnagar,DEVARKADRA, 
ICICI Bank Ltd,SACWG795,16.635813,77.658001,TELANGANA,Narayanpet,DHANWADA, 
Union Bank Of India,W0116001,16.6396,77.657,TELANGANA,Narayanpet,DHANWADA,509205
South Indian Bank Ltd,06940002,16.64128,77.510704,TELANGANA,Narayanpet,Palmakole,509325
State Bank Of India,S1BW020200001,16.648876,77.510424,TELANGANA,Narayanpet,SHABAD, 
Union Bank Of India,W1943001,16.662956,78.489753,TELANGANA,Nagarkurnool,KALWAKURTHY,509324
Union Bank Of India,WHYD06001111111,16.6678,78.19324,TELANGANA,Nagarkurnool,Mehbubnagar,509406
HDFC Bank Ltd,S1AWMR03,16.6692,78.49,TELANGANA,Nagarkurnool,Kalwakurthy,NULL
Union Bank Of India,H1943101,16.6701,78.4889,TELANGANA,Nagarkurnool,KALWAKURTHY,509324
State Bank Of India,S5NC020194621,16.671737,78.488437,TELANGANA,Nagarkurnool,KALWAKURTHY, 
State Bank Of India,S5NL006222621,16.671752,78.488432,TELANGANA,Nagarkurnool,KALWAKURTHY, 
Union Bank Of India,B0931102,16.672399,78.488499,TELANGANA,Nagarkurnool,MAHABOOBNAGAR, 
State Bank Of India,S1BB020194002,16.676012,78.483735,TELANGANA,Nagarkurnool,Kalwakurthy, 
Union Bank Of India,K0779101,16.6911,78.707,TELANGANA,Nagarkurnool,CHARKONDA,509324
State Bank Of India,S5NE021102621,16.69153,77.927059,TELANGANA,Mahabubnagar,MAHBUBNAGAR, 
Union Bank Of India,L0113002,16.6919,78.919,TELANGANA,Nalgonda,DEVARAKONDA,508240
Union Bank Of India,H0113101,16.6919,78.919,TELANGANA,Nalgonda,DEVARAKONDA,508240
State Bank Of India,S1BB020179001,16.691927,78.919116,TELANGANA,Nalgonda,DEVARAKONDA, 
Punjab National Bank,N1285500,16.69194,78.91798,TELANGANA,Nalgonda,NALGONDA,508248
State Bank Of India,S1BW020179002,16.691968,78.919084,TELANGANA,Nalgonda,DEVARAKONDA, 
IDBI Bank Ltd,ID164001,16.69219,79.51538,TELANGANA,Nalgonda,Nalgonda,508207
Karnataka Bank Ltd,KBL19070,16.6922,79.5154,TELANGANA,Nalgonda,Miryalaguda,508207
Karnataka Bank Ltd,KBL19015,16.6922,79.5154,TELANGANA,Nalgonda,Miryalguda,508207
State Bank Of India,T1NY020179003,16.692472,78.918609,TELANGANA,Nalgonda,DEVARAKONDA, 
State Bank Of India,S5NL020179621,16.692513,78.91906,TELANGANA,Nalgonda,DEVARAKONDA, 
Bank Of India,AHY8056,16.693,78.92034,TELANGANA,Nalgonda,NALGONDA,508248
State Bank Of India,S5NL021628621,16.695823,78.904971,TELANGANA,Nalgonda,MUDIGONDA, 
State Bank Of India,S5NL003513622,16.699703,78.051086,TELANGANA,Mahabubnagar,BHOOTHPUR, 
State Bank Of India,S5NL003513621,16.699816,78.051194,TELANGANA,Mahabubnagar,BHOOTHPUR, 
State Bank Of India,S5NC020856621,16.7002,78.049664,TELANGANA,Mahabubnagar,Mahbubnagar, 
Axis Bank Ltd,BPCN100114,16.700479,78.04873,TELANGANA,Mahabubnagar,MAHBUBNAGAR, 
Union Bank Of India,N2980001,16.7085,78.0367,TELANGANA,Mahabubnagar,MAHBOOBNAGAR,509382
Central Bank Of India,SCRH13331S,16.713928,78.979415,TELANGANA,Nalgonda, , 
Union Bank Of India,W2141001,16.7147,78.9945,TELANGANA,Nalgonda,KONDA MALLEPALLY,508243
Union Bank Of India,H2141101,16.7147,78.9945,TELANGANA,Nalgonda,KONDA MALLEPALLY,508243
State Bank Of India,S1BW021658001,16.71509,79.299522,TELANGANA,Nalgonda,THUNGATHURTHY, 
State Bank Of India,S1NW021379001,16.715184,78.977175,TELANGANA,Nalgonda,KONDAMALLEPALLY, 
State Bank Of India,S1NW020184001,16.717607,77.974109,TELANGANA,Mahabubnagar,MAHABUBNAGAR, 
Union Bank Of India,W2016001,16.720713,79.415016,TELANGANA,Nalgonda,"RAJAVARAM,ANUMULA", 
State Bank Of India,S1BW021754001,16.725011,77.54274,TELANGANA,Narayanpet,Narayanpet, 
Union Bank Of India,W2333001,16.727,79.6351,TELANGANA,Nalgonda,DAMERCHERLA,508355
Union Bank Of India,H1946101,16.7271,79.204,TELANGANA,Nalgonda,PEDDAVOORA,508266
State Bank Of India,T1BS020174018,16.727134,79.637139,TELANGANA,Nalgonda,NALGONDA, 
Lakshmi Vilas Bank Ltd,003DM461,16.728369,0.0,TELANGANA,Nalgonda, , 
State Bank Of India,T1BY020184039,16.729882,78.009139,TELANGANA,Mahabubnagar,CHRISTIANPALLY, 
Bank Of India,IHY8019,16.73066,77.99987,TELANGANA,Mahabubnagar, ,509001
Union Bank Of India,W2331001,16.7326,77.9973,TELANGANA,Mahabubnagar,MAHABUBNAGAR,509001
Axis Bank Ltd,DWCW100113,16.733379,77.985739,TELANGANA,Mahabubnagar,MAHBUBNAGAR, 
Axis Bank Ltd,DWRO100108,16.733379,77.985739,TELANGANA,Mahabubnagar,MAHBUBNAGAR, 
State Bank Of India,S1BW020184007,16.733503,78.000827,TELANGANA,Mahabubnagar,MAHABUBNAGAR, 
State Bank Of India,S1BW020426001,16.736039,79.6315,TELANGANA,Nalgonda,Dameracherla, 
State Bank Of India,T1BY003026264,16.737508,78.008124,TELANGANA,Mahabubnagar,SBI KADTHAL (TOM ONSITE), 
Union Bank Of India,N2331002,16.7377,77.9909,TELANGANA,Mahabubnagar,MAHABUBNAGAR,509001
State Bank Of India,S5NE020186621,16.741238,77.499748,TELANGANA,Narayanpet,MAHBUBNAGAR, 
State Bank Of India,S5NC003484621,16.74143,78.05099,TELANGANA,Mahabubnagar,MAHBUBNAGAR,509001
Bank Of Maharashtra,DA1707T1,16.7417,77.995494,TELANGANA,Mahabubnagar,"MAHBOOBNAGAR
",509001
State Bank Of India,T1NF020184031,16.741878,77.988233,TELANGANA,Mahabubnagar,MAHABUBNAGAR, 
State Bank Of India,S1BW006109001,16.74227,78.54187,TELANGANA,Nagarkurnool,MAHBUBNAGAR,509360
Axis Bank Ltd,BPCN100109,16.742443,77.988751,TELANGANA,Mahabubnagar,0,509001
Union Bank Of India,N1216002,16.742879,78.012299,TELANGANA,Mahabubnagar,MAHABUBNAGAR, 
State Bank Of India,S1NW022020001,16.743815,78.010171,TELANGANA,Mahabubnagar,BHOOTHPUR, 
State Bank Of India,S5NL021201621,16.744175,78.326685,TELANGANA,Mahabubnagar,MIDJIL, 
State Bank Of India,T1BF020184046,16.744449,78.004614,TELANGANA,Mahabubnagar,MAHABUBNAGAR, 
HDFC Bank Ltd,S1ANBL58,16.7445,77.496,TELANGANA,Narayanpet,Narayanpet,NULL
HDFC Bank Ltd,S1ANWB30,16.7446,77.9905,TELANGANA,Mahabubnagar,Mahabubnagar,NULL
ICICI Bank Ltd,S1CN5082,16.744789,77.990394,TELANGANA,Mahabubnagar, , 
State Bank Of India,S1BW020184015,16.744822,77.993442,TELANGANA,Mahabubnagar,Mahaboobnagar, 
State Bank Of India,S1NW020184002,16.745397,77.994901,TELANGANA,Mahabubnagar,Mahabubnagar, 
State Bank Of India,S5NC020184621,16.745889,77.987921,TELANGANA,Mahabubnagar,MAHBUBNAGAR, 
State Bank Of India,S1BW020184008,16.745905,77.989196,TELANGANA,Mahabubnagar,MAHABUBNAGAR, 
State Bank Of India,S1BG020184014,16.745938,77.988114,TELANGANA,Mahabubnagar,MAHBUBNAGAR, 
State Bank Of India,S1BG020184013,16.74595,77.987921,TELANGANA,Mahabubnagar,MAHBUBNAGAR, 
